Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-01-03 08:44:16,2022-01-03 08:46:05,00:01:49,Stop,707,Stop battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2022-01-03 08:44:16,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2022-01-03 08:46:05,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-01-03 08:46:05,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-01-03 08:48:05,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-01-03 08:48:40,2022-01-03 08:50:48,00:02:08,Stop,710,Battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2022-01-03 08:48:40,-,-,Informational,100030,Brake program 180,,,Technical Standby,,
2022-01-03 08:50:48,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-01-03 08:50:48,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-01-03 08:50:54,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-01-03 08:52:54,-,-,Informational,100140,System test 1,,,Technical Standby,,
2022-01-03 08:53:01,-,-,Informational,100150,System test 2,,,Technical Standby,,
2022-01-03 08:53:16,-,-,Informational,100160,System test 3,,,Technical Standby,,
2022-01-03 08:53:31,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-01-03 08:55:57,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-01-03 08:56:07,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-01-03 08:56:37,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-01-06 02:00:53,2022-01-06 02:01:40,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-01-06 02:00:53,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-01-06 02:00:54,2022-01-06 02:10:55,00:10:01,Stop,5760,Hydraulic oil flushing operation,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2022-01-06 02:00:54,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2022-01-06 02:10:55,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-01-06 02:10:55,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-01-06 02:27:25,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-01-06 02:32:47,-,-,Informational,100190,Mains connection,,,Full Performance,,
